iter	Passed	Remaining
398	107181	215168
399	107433	214866
400	107706	214607
401	107988	214365
402	108248	214079
403	108507	213791
404	108821	213612
405	109105	213373
406	109369	213096
407	109638	212827
408	109898	212542
409	110179	212297
410	110453	212038
411	110731	211786
412	110994	211508
413	111266	211244
414	111519	210946
415	111787	210677
416	112065	210425
417	112329	210148
418	112581	209848
419	112872	209620
420	113151	209370
421	113403	209070
422	113662	208785
423	113926	208506
424	114182	208215
425	114423	207897
426	114680	207606
427	114966	207369
428	115235	207102
429	115506	206836
430	115765	206551
431	116036	206287
432	116307	206022
433	116570	205744
434	116837	205473
435	117130	205247
436	117404	204987
437	117670	204714
438	117948	204461
439	118192	204150
440	118432	203832
441	118684	203535
442	118955	203271
443	119208	202976
444	119466	202690
445	119732	202418
446	120008	202162
447	120286	201909
448	120558	201647
449	120824	201374
450	121097	201113
451	121353	200824
452	121622	200555
453	121909	200317
454	122175	200045
455	122429	199753
456	122689	199471
457	122950	199190
458	123218	198921
459	123481	198643
460	123737	198355
461	124014	198100
462	124300	197861
463	124557	197573
464	124828	197309
465	125098	197044
466	125362	196768
467	125645	196522
468	125909	196247
469	126182	195985
470	126453	195720
471	126722	195452
472	126987	195179
473	127256	194912
474	127528	194648
475	127792	194373
476	128062	194107
477	128359	193882
478	128633	193621
479	128897	193346
480	129161	193070
481	129450	192833
482	129697	192533
483	129973	192274
484	130244	192010
485	130504	191729
486	130774	191462
487	131047	191200
488	131312	190927
489	131576	190651
490	131846	190385
491	132118	190122
492	132392	189861
493	132687	189629
494	132951	189355
495	133234	189106
496	133504	188839
497	133776	188575
498	134037	188296
499	134315	188041
500	134565	187747
501	134832	187475
502	135098	187204
503	135363	186931
504	135617	186641
505	135884	186370
506	136146	186094
507	136415	185826
508	136687	185562
509	136957	185295
510	137229	185032
511	137489	184751
512	137755	184479
513	138012	184196
514	138264	183904
515	138520	183620
516	138787	183349
517	139045	183067
518	139322	182810
519	139584	182534
520	139868	182285
521	140138	182019
522	140404	181747
523	140709	181526
524	141027	181321
525	141372	181150
526	141669	180917
527	142001	180729
528	142288	180483
529	142545	180199
530	142808	179922
531	143076	179652
532	143366	179409
533	143626	179129
534	143896	178861
535	144184	178616
536	144451	178345
537	144711	178065
538	144982	177799
539	145254	177533
540	145510	177249
541	145801	177005
542	146072	176739
543	146346	176477
544	146619	176211
545	146893	175949
546	147157	175674
547	147424	175402
548	147691	175131
549	147973	174877
550	148264	174634
551	148514	174343
552	148783	174073
553	149042	173793
554	149314	173527
555	149574	173248
556	149847	172983
557	150147	172749
558	150416	172480
559	150685	172211
560	150949	171937
561	151221	171671
562	151489	171400
563	151749	171121
564	152020	170855
565	152289	170585
566	152549	170306
567	152829	170049
568	153094	169776
569	153401	169549
570	153653	169260
571	153923	168993
572	154185	168716
573	154452	168445
574	154724	168179
575	154989	167904
576	155259	167636
577	155522	167361
578	155775	167075
579	156035	166796
580	156299	166522
581	156569	166254
582	156832	165978
583	157105	165714
584	157361	165431
585	157630	165162
586	157889	164882
587	158171	164627
588	158451	164369
589	158709	164089
590	158967	163809
591	159234	163537
592	159512	163278
593	159787	163015
594	160056	162746
595	160315	162467
596	160585	162199
597	160851	161927
598	161118	161656
599	161385	161385
600	161639	161101
601	161890	160814
602	162161	160547
603	162418	160267
604	162706	160017
605	162978	159751
606	163248	159483
607	163506	159203
608	163777	158936
609	164046	158667
610	164311	158395
611	164571	158117
612	164834	157843
613	165095	157566
614	165357	157291
615	165627	157023
616	165902	156760
617	166181	156500
618	166450	156232
619	166704	155949
620	166950	155658
621	167238	155408
622	167503	155136
623	167772	154866
624	168045	154602
625	168325	154343
626	168589	154069
627	168849	153792
628	169115	153521
629	169372	153242
630	169640	152972
631	169891	152687
632	170132	152393
633	170395	152119
634	170643	151832
635	170903	151555
636	171159	151275
637	171417	150998
638	171672	150717
639	171931	150439
640	172212	150181
641	172479	149911
642	172745	149640
643	173004	149364
644	173272	149095
645	173531	148818
646	173797	148546
647	174062	148275
648	174327	148003
649	174570	147713
650	174859	147462
651	175104	147173
652	175376	146908
653	175637	146632
654	175892	146353
655	176133	146061
656	176397	145790
657	176666	145521
658	176920	145241
659	177187	144971
