iter	Logloss
127	0.1130218561
128	0.1129603438
129	0.1128753033
130	0.112833021
131	0.1127967437
132	0.1127276855
133	0.1126711471
134	0.1126297774
135	0.1125575229
136	0.1124945627
137	0.1124456394
138	0.1123113196
139	0.1122565445
140	0.1121811154
141	0.112156253
142	0.1120735208
143	0.1120090607
144	0.111942742
145	0.1118459751
146	0.1117773578
147	0.1117432739
148	0.1117147257
149	0.1116773976
150	0.1116474947
151	0.1115843687
152	0.111515691
153	0.1114693725
154	0.1113981313
155	0.1113395399
156	0.1112148995
157	0.1110804174
158	0.1110304881
159	0.1110015236
160	0.1109371953
161	0.1107828305
162	0.1107484586
163	0.1107275331
164	0.1106844675
165	0.1106302786
166	0.1105868081
167	0.110556323
168	0.1105168327
169	0.1104217586
170	0.1103503984
171	0.1103081411
172	0.1102594508
173	0.1102375309
174	0.1102041954
175	0.1101782873
176	0.1101401089
177	0.1100992872
178	0.1100584287
179	0.1100380196
180	0.1099805234
181	0.1099509115
182	0.1099394883
183	0.1098950768
184	0.1098648045
185	0.1098424054
186	0.1097855035
187	0.1097359511
188	0.1096967012
189	0.1096599084
190	0.1096125542
191	0.109602347
192	0.1095609036
193	0.1095297095
194	0.1095119568
195	0.1094829559
196	0.1094231975
197	0.1093928267
198	0.1093122935
199	0.1092752408
200	0.1092606116
201	0.1092431303
202	0.1091590094
203	0.1091180371
204	0.1091068138
205	0.109068015
206	0.1090372265
207	0.1090022212
208	0.1089802051
209	0.1089440952
210	0.1089260652
211	0.1088730896
212	0.108844471
213	0.1087997024
214	0.1087601784
215	0.1087336365
216	0.108697511
217	0.1086707631
218	0.1086473561
219	0.1086248857
220	0.1085773592
221	0.1085614578
222	0.1085330909
223	0.1084830985
224	0.1084558575
225	0.1083699709
226	0.1083584502
227	0.1083309144
228	0.1082961352
229	0.1082785479
230	0.1082605859
231	0.1082293009
232	0.108183658
233	0.1081655926
234	0.1081450615
235	0.1081326797
236	0.1080940293
237	0.1080837762
238	0.1080587361
239	0.1080545061
240	0.1080425116
241	0.1080343876
242	0.1079929271
243	0.1079699785
244	0.1079598985
245	0.1079450703
246	0.1079291586
247	0.1078796415
248	0.1078661192
249	0.1078150973
250	0.1077892638
251	0.1077625147
252	0.1077536472
253	0.1077395535
254	0.1077211732
255	0.1076830322
256	0.1076606112
257	0.1076202214
258	0.1076074919
259	0.1075950969
260	0.1075753779
261	0.1075664775
262	0.107532355
263	0.107477876
264	0.1074715798
265	0.1074577156
266	0.1074168654
267	0.107385984
268	0.1073789889
269	0.1073403773
270	0.1073115762
271	0.1072885779
272	0.107272781
273	0.1072453372
274	0.107231899
275	0.1072218714
276	0.1072052817
277	0.1071854615
278	0.1071791229
279	0.107160304
280	0.1071343004
281	0.1071148099
282	0.1070946841
283	0.1070824789
284	0.1070604255
285	0.1070436483
286	0.107032637
287	0.1070047855
288	0.106981421
289	0.1069585919
290	0.1069532204
291	0.1069408711
292	0.1068882892
293	0.1068690381
294	0.1068440031
295	0.1068116827
296	0.1067977077
297	0.1067641592
298	0.1067487818
299	0.1067301163
300	0.106717949
301	0.1066731038
302	0.1066341743
303	0.1066146264
304	0.10660597
305	0.1066009995
306	0.1065940515
307	0.1065689995
308	0.1065539545
309	0.1065332813
310	0.1065114718
311	0.1064890418
312	0.1064772215
313	0.1064319518
314	0.106413364
315	0.1063989504
316	0.1063771723
317	0.1063597797
318	0.1063474843
319	0.1063224254
320	0.1062619841
321	0.1062355584
322	0.1062116276
323	0.1061801575
324	0.1061613647
325	0.1061454171
326	0.1061417938
327	0.1061238359
328	0.1061071692
329	0.1060585285
330	0.1060427944
331	0.1060003846
332	0.1059918059
333	0.1059417769
334	0.1059295708
335	0.1059052546
336	0.1058971524
337	0.1058671021
338	0.1058403156
339	0.1058199579
340	0.1057904174
341	0.1057746224
342	0.1057522857
343	0.1057100627
344	0.1056842604
345	0.1056514993
346	0.1056375491
347	0.1056179271
348	0.1056012599
349	0.10557516
350	0.1055426239
351	0.1055192679
352	0.10551751
353	0.1054694416
354	0.1054530743
355	0.1054382501
356	0.1053814567
357	0.1053313144
358	0.1053184406
359	0.1053104996
360	0.1052895501
361	0.1052659702
362	0.1052239587
363	0.1051820249
364	0.1051762432
365	0.105170895
366	0.1051418762
367	0.1051174649
368	0.1051075418
369	0.1050986864
370	0.1050867761
371	0.1050604942
372	0.1050469177
373	0.1050423799
374	0.1050238752
375	0.1050055113
376	0.1049725431
377	0.1049538385
378	0.1049318157
379	0.1049242884
380	0.104900529
381	0.1048895038
382	0.1048843494
383	0.1048568476
384	0.1048480293
385	0.1048226752
386	0.104784347
387	0.1047524832
388	0.1047288611
389	0.1047207939
390	0.1047066525
391	0.1046934493
392	0.1046675177
393	0.1046467618
394	0.1046093663
395	0.1045931349
396	0.1045818715
397	0.1045718254
398	0.1045543604
399	0.1045357383
400	0.1045220158
401	0.1044937201
402	0.1044720282
403	0.1044657393
404	0.104451844
405	0.104427518
406	0.1044140009
407	0.1043976857
408	0.1043810872
409	0.1043634995
410	0.1043481779
411	0.1043374144
412	0.1043258334
413	0.1043101419
414	0.1042990888
415	0.1042859605
416	0.1042666177
417	0.1042469534
418	0.1042283637
419	0.104215595
420	0.1042060069
421	0.1041883065
422	0.1041776196
423	0.1041599759
424	0.1041469215
425	0.1041357515
426	0.1041084158
427	0.1040607849
428	0.1040419926
429	0.1040123021
430	0.1039929246
431	0.1039627817
432	0.1039467113
433	0.1039337628
434	0.1039113131
435	0.1039077179
436	0.1039047942
437	0.1038829619
438	0.1038701963
439	0.103856968
440	0.1038470088
441	0.1038251387
442	0.1038058564
443	0.1037816425
444	0.1037769892
445	0.1037714442
446	0.1037629284
447	0.1037538118
448	0.1037277027
449	0.1037210535
450	0.1036792296
451	0.1036657656
452	0.1036349896
453	0.1036049266
454	0.1035952165
455	0.1035796586
456	0.1035337383
457	0.1035260416
458	0.1034784912
459	0.103442247
460	0.1034230599
461	0.1034008389
462	0.1033887712
463	0.1033750917
464	0.1033661447
465	0.1033559375
466	0.1033392496
467	0.103325554
468	0.1033075216
469	0.1032913836
470	0.1032712423
471	0.1032584894
472	0.1032516099
473	0.103235996
474	0.1032209925
475	0.1032096176
476	0.1031951357
477	0.1031880785
478	0.1031626747
479	0.1031553047
480	0.1031350225
481	0.1031124213
482	0.1030811979
483	0.1030674394
484	0.1030634953
485	0.1030431768
486	0.1030154933
487	0.1029860234
488	0.102963777
489	0.1029538001
490	0.1029268051
491	0.1029215242
492	0.1029040933
493	0.1028804051
494	0.1028751095
495	0.1028642683
496	0.1028481545
497	0.1028227731
498	0.1027940431
499	0.1027771285
500	0.1027608432
501	0.1027484907
502	0.1027403008
503	0.1027300199
504	0.1027222902
505	0.1027082987
506	0.10269191
507	0.1026785237
508	0.1026744683
509	0.1026607856
510	0.1026565313
511	0.1026473041
512	0.1026271724
513	0.1026160803
514	0.1026019837
515	0.1025785274
516	0.1025722898
517	0.1025563679
518	0.1025362151
519	0.1025247248
520	0.1025089038
521	0.1024933028
522	0.1024701749
523	0.1024578281
524	0.1024534563
525	0.1024304824
526	0.1024000121
527	0.1023857539
528	0.102383207
529	0.1023652953
530	0.102348619
531	0.1023374907
532	0.1023222395
533	0.1023123884
534	0.1022946345
535	0.1022745587
536	0.1022558405
537	0.1022228799
538	0.1022119665
539	0.1021991799
540	0.1021811889
541	0.1021705071
542	0.1021588682
543	0.1021423093
544	0.1021374147
545	0.1021192843
546	0.1021052018
547	0.1020940642
548	0.1020834565
549	0.1020550662
550	0.1020343735
551	0.1020240066
552	0.1020145702
553	0.1020116858
554	0.1019941669
555	0.1019859273
556	0.1019709783
557	0.1019555108
558	0.1019506062
559	0.1019405075
560	0.1019264208
561	0.1019177529
562	0.1018907363
563	0.1018690815
564	0.1018608832
565	0.1018467677
566	0.1018162798
567	0.1018065148
568	0.1017988347
569	0.1017674442
570	0.1017630452
571	0.1017533088
572	0.1017456938
573	0.1017286699
574	0.1017067199
575	0.1016885451
576	0.1016789634
577	0.1016690227
578	0.1016454077
579	0.1016252783
580	0.1016063779
581	0.1016009463
582	0.1015752354
583	0.1015579434
584	0.1015483519
585	0.1015335286
586	0.1015220253
587	0.1014958462
588	0.1014691524
589	0.1014451441
590	0.1014279017
591	0.1014045853
592	0.1013955069
593	0.1013698915
594	0.1013562958
595	0.1013512246
596	0.101325946
597	0.1013173731
598	0.1013115568
599	0.1012976221
600	0.1012899065
601	0.101278208
602	0.1012660309
603	0.1012568512
604	0.1012505066
605	0.1012300817
606	0.1012171894
607	0.1012125955
608	0.1012063609
609	0.1011573241
610	0.1011443125
611	0.1011154864
612	0.1011010794
613	0.1010870522
614	0.1010724154
615	0.1010518897
616	0.1010428471
617	0.101025995
618	0.1010223927
619	0.1010042195
620	0.1009943007
621	0.1009666828
622	0.1009479927
623	0.1009424806
624	0.1009197046
625	0.1009187651
626	0.1009078072
627	0.1008983993
628	0.1008888404
629	0.1008658081
630	0.1008440492
631	0.1008373103
632	0.1008326041
633	0.1008301989
634	0.1008189337
635	0.1008013809
636	0.1007910289
637	0.1007846912
638	0.100767438
639	0.1007629467
640	0.1007517333
641	0.1007049107
642	0.1006918898
643	0.1006659986
644	0.100657987
645	0.1006416807
646	0.1006359437
647	0.1006273416
648	0.1006199125
649	0.1006051381
650	0.100591719
651	0.100579942
652	0.1005763115
653	0.1005453334
654	0.1005402799
655	0.1005292667
656	0.1004960801
657	0.1004842841
658	0.1004692465
659	0.1004439803
660	0.1004330121
661	0.1004263779
662	0.1004097552
663	0.1004026696
664	0.1003977284
665	0.1003869316
666	0.1003771988
667	0.1003653904
668	0.1003459659
669	0.1003249899
670	0.1003202028
671	0.1002791144
672	0.1002679423
673	0.100258913
674	0.1002411708
675	0.100234667
676	0.1002068755
677	0.1002039668
678	0.1001971559
679	0.100167219
680	0.1001517653
681	0.1001386371
682	0.1001219388
683	0.1001008812
684	0.1000751722
685	0.1000628815
686	0.1000543855
687	0.1000325397
688	0.1000206377
689	0.1000115497
690	0.1000004998
691	0.09999108517
692	0.0999865743
693	0.09997303817
694	0.09996606232
695	0.09994026077
696	0.09993130946
697	0.09992299221
698	0.09991021352
699	0.09988319311
700	0.099852383
701	0.09984456374
702	0.09983232461
703	0.09980237661
704	0.09978984501
705	0.09974863918
706	0.09974052345
707	0.09971987613
708	0.09971431461
709	0.09970471729
710	0.09969767467
711	0.09967508736
712	0.09965446613
713	0.09963690271
714	0.09962205144
715	0.09960008765
716	0.09957270987
717	0.09954232437
718	0.09952740656
719	0.09951224651
720	0.0994840266
721	0.0994692132
722	0.09946095983
723	0.09945873292
724	0.09945035322
725	0.09944230445
726	0.09943035717
727	0.09941886681
728	0.09940119571
729	0.09938633963
730	0.09936395819
731	0.09935185039
732	0.0993186822
733	0.09930765784
734	0.09929710841
735	0.09928408366
736	0.09925993006
737	0.09925352223
738	0.09923568803
739	0.09921882689
740	0.09920647444
741	0.09918464939
742	0.09917777896
743	0.09916075378
744	0.09914928281
745	0.09913913598
746	0.09912707379
747	0.09911182689
748	0.09909344943
749	0.09907901005
750	0.0990702124
751	0.09906074567
752	0.09904238395
753	0.09902558961
754	0.09902347649
755	0.09900054462
756	0.09899332695
757	0.09898033595
758	0.0989691271
759	0.09895541528
760	0.09893988892
761	0.09893237836
762	0.09892568612
763	0.09890226567
764	0.09887132903
765	0.09886108532
766	0.098844205
767	0.09883834822
768	0.09883439997
769	0.09882741373
770	0.09880830067
771	0.09879388829
772	0.098783816
773	0.09877859239
774	0.09877651353
775	0.09876265485
776	0.09875434725
777	0.09875043852
778	0.09873963521
779	0.09872060318
780	0.09870666591
781	0.09869214038
782	0.0986851622
783	0.09867267504
784	0.09866067664
785	0.09865114278
786	0.09862610238
787	0.09861490922
788	0.09859952803
789	0.09859152024
790	0.09857908024
791	0.09857069464
792	0.09855515452
793	0.09853776577
794	0.09852722744
795	0.09852261686
796	0.09851615821
797	0.09851423864
798	0.09850734832
799	0.09850029698
800	0.09847661464
801	0.09846212336
802	0.09845075868
803	0.09844048157
804	0.09842842428
805	0.09840541271
806	0.09840095608
807	0.09838581265
808	0.09837328857
809	0.09836826632
810	0.09835890526
811	0.09834486477
812	0.09832155999
813	0.09831808173
814	0.09830553808
815	0.09830097325
816	0.09828199836
817	0.09826612923
818	0.09825286729
819	0.09824661849
820	0.0982345698
821	0.09822935793
822	0.0982079867
823	0.09820097107
824	0.09818663121
825	0.09817607229
826	0.09816010962
827	0.09814552666
828	0.09813681151
829	0.09813034054
830	0.09811183197
831	0.09806990211
832	0.09806509037
833	0.09805479668
834	0.09803361542
835	0.09802223844
836	0.09800078176
837	0.09797612024
838	0.09796631884
839	0.09795323019
840	0.09794655395
841	0.09794091845
842	0.0979180199
843	0.09790559785
844	0.09789893457
845	0.09787538282
846	0.09786720797
847	0.09785271665
848	0.09782928763
849	0.0978173813
850	0.09780014041
851	0.09779451978
852	0.0977868356
853	0.0977729867
854	0.0977292086
855	0.09772470196
856	0.09770125431
857	0.09768542216
858	0.09764196087
859	0.09763488125
860	0.09761942499
861	0.0976055729
862	0.09758434298
863	0.09757740155
864	0.09756996108
865	0.09755832252
866	0.09754323582
867	0.09752988265
868	0.09752836319
869	0.09750074289
870	0.0974949246
871	0.09748033284
872	0.09746965541
873	0.0974528097
874	0.09743418646
875	0.09742156906
876	0.09740457214
877	0.09739348968
878	0.0973784199
879	0.09736463745
880	0.09734748425
881	0.09733739355
882	0.09732679461
883	0.09730816716
884	0.09729710207
885	0.09727952194
886	0.09727158549
887	0.09722890257
888	0.09720334168
889	0.09719398402
890	0.09718575388
891	0.09717741581
892	0.09715746065
893	0.09714524261
894	0.09714159322
895	0.09713450731
896	0.09711385552
897	0.09709925374
898	0.09709018668
899	0.09707922395
900	0.09706947328
901	0.09705860766
902	0.09705157883
903	0.09704153865
904	0.09702971056
905	0.09701305665
906	0.09700120916
907	0.09699546077
908	0.09697183801
909	0.09696614486
910	0.09694144646
911	0.09692525887
912	0.09691418234
913	0.09690767419
914	0.09688207509
915	0.09687658293
916	0.09685842552
917	0.09683952677
918	0.0968254951
919	0.09680883902
920	0.09678960119
921	0.09677234002
922	0.09675451857
923	0.09672520207
924	0.09671255371
925	0.09670443908
926	0.09668060686
927	0.0966633294
928	0.09664860133
929	0.09662275656
930	0.0966108009
931	0.0966054814
932	0.09659238641
933	0.09659177247
934	0.096582954
935	0.09657527951
936	0.09656122145
937	0.09655010517
938	0.09653092202
939	0.09652743626
940	0.09652441312
941	0.09650783782
942	0.09649981792
943	0.0964839594
944	0.09645804827
945	0.09644091442
946	0.09641847969
947	0.09641022249
948	0.09639422015
949	0.09638158049
950	0.09634730804
951	0.09632171756
952	0.09630861483
953	0.09629907822
954	0.09628066054
955	0.09627367606
956	0.09627247061
957	0.09626564622
958	0.09624118258
959	0.09622495171
960	0.09619570752
961	0.09618945591
962	0.09616983043
963	0.09615382437
964	0.09614896461
965	0.09613222138
966	0.09612508665
967	0.0961132014
968	0.09609463103
969	0.09607590613
970	0.09606829505
971	0.09605870371
972	0.09603090094
973	0.09601972682
974	0.09599986948
975	0.09598793356
976	0.09598127711
977	0.09597568948
978	0.09597050751
979	0.09595594797
980	0.09595024898
981	0.09593909893
982	0.09590972453
983	0.0958915662
984	0.0958859815
985	0.09587229775
986	0.09585368204
987	0.09584732712
988	0.09584041771
989	0.09583651562
990	0.09582482971
991	0.09581405334
992	0.0958093944
993	0.09580371263
994	0.09579386017
995	0.09578894931
996	0.09578522409
997	0.09576473452
998	0.09575450354
999	0.09574124181
1000	0.09573010689
1001	0.09572279708
1002	0.09570469712
1003	0.09568969829
1004	0.09567807728
1005	0.09565874916
1006	0.09565122004
1007	0.09563907538
1008	0.09561876914
1009	0.09561163533
1010	0.09560079509
1011	0.09559738958
1012	0.09558611846
1013	0.09556843926
1014	0.09554358641
1015	0.09553422953
1016	0.09551602273
1017	0.09549535147
1018	0.09547872185
1019	0.09546923348
1020	0.09546642647
1021	0.09544701377
1022	0.09543882117
1023	0.09543159827
1024	0.09542286675
1025	0.09541120245
1026	0.09539577747
1027	0.09537443129
1028	0.09536204684
1029	0.09536076564
1030	0.0953584368
1031	0.09534508375
1032	0.09532666482
1033	0.09531265582
1034	0.09530689923
1035	0.09529866973
1036	0.09529593688
1037	0.09528841964
1038	0.09528314067
1039	0.0952654309
1040	0.09526212292
1041	0.0952584411
1042	0.09524595877
1043	0.0952379738
1044	0.09522707993
1045	0.09521724102
1046	0.09520827807
1047	0.09519268475
1048	0.09518262274
1049	0.09517349778
1050	0.09516611638
1051	0.09515755524
1052	0.09515159752
1053	0.09514361108
1054	0.09514224824
1055	0.09512979194
1056	0.09512418709
1057	0.09511123934
1058	0.09510746281
1059	0.09509878218
1060	0.09508726483
1061	0.09507757692
1062	0.09506101962
1063	0.09504827739
1064	0.09504193796
1065	0.0950383463
1066	0.09503103423
1067	0.09501317678
1068	0.09500858805
1069	0.0949966997
1070	0.09499005879
1071	0.0949726848
1072	0.09496616621
1073	0.09495991723
1074	0.09494424754
1075	0.0949295445
1076	0.09492407858
1077	0.09491727315
1078	0.09491091428
1079	0.0949006584
1080	0.0948860509
1081	0.09486996599
1082	0.09485670404
1083	0.09484559453
1084	0.09483691214
1085	0.09482630343
1086	0.09481735825
1087	0.0948135915
1088	0.09481104105
1089	0.09480673086
1090	0.09480555151
1091	0.09479661468
1092	0.09477290461
1093	0.09475491455
1094	0.09474496471
1095	0.09473067555
1096	0.09472641322
1097	0.09471551179
1098	0.09471105305
1099	0.09470272683
1100	0.09469590559
1101	0.09468398966
1102	0.09467234696
1103	0.09465738596
1104	0.09464389672
1105	0.09463858454
1106	0.09462861928
1107	0.09459740233
1108	0.09459052176
1109	0.09457611948
1110	0.09456304811
1111	0.09456014375
1112	0.09455073549
1113	0.09454668852
1114	0.09453284459
1115	0.09451294617
1116	0.09450692958
1117	0.09450392684
1118	0.09449000245
1119	0.09447573531
1120	0.09446323286
1121	0.09445529747
1122	0.09444504511
1123	0.09443766522
1124	0.09442921964
1125	0.09442145873
1126	0.09441254289
1127	0.09440246438
1128	0.09437318285
1129	0.09436593437
1130	0.09434999762
1131	0.09433244023
1132	0.09431910841
1133	0.09431530178
1134	0.09430698673
1135	0.09426935534
1136	0.09425972365
1137	0.09425570452
1138	0.0942467946
1139	0.09424375465
1140	0.09424122699
1141	0.09422420126
1142	0.09421489268
1143	0.09420342802
1144	0.09419097865
1145	0.09417700806
1146	0.09416501808
1147	0.09415808196
1148	0.09414746728
1149	0.09414040989
1150	0.09411625679
1151	0.09410927345
1152	0.09409173843
1153	0.09409121186
1154	0.0940763872
1155	0.09405938187
1156	0.09405720781
1157	0.09404849748
1158	0.09402833634
1159	0.094014968
1160	0.09400918097
1161	0.09400237921
1162	0.0939968889
1163	0.09399291336
1164	0.09397799605
1165	0.09396660673
1166	0.09394945634
1167	0.09392876085
1168	0.0939237546
1169	0.09392184291
1170	0.09391379284
1171	0.09390558182
1172	0.09390220837
1173	0.09388045865
1174	0.09387154998
1175	0.09386490885
1176	0.09385983527
1177	0.09383881387
1178	0.09382008402
1179	0.09380893447
1180	0.09380670811
1181	0.0937989564
1182	0.09379085757
1183	0.09378131949
1184	0.09376798925
1185	0.0937479484
1186	0.09373010472
1187	0.09370533141
1188	0.09369399966
1189	0.09368202241
1190	0.09367149558
1191	0.09366250226
1192	0.09365535163
1193	0.09364861951
1194	0.09363827215
1195	0.09362229386
1196	0.09361712474
1197	0.09359980508
1198	0.09358287624
1199	0.09357342133
